slang,baku,konteks
woww,wow,wow
aminn,amin,"Selamatulangtahunkakaktulussemogapanjangumurkakak,sehatselalujuga,murahrezekiyakakakdanjangansombongkalosuksesdikarirnyaaminn@tulusm"
met,selamat,Metharinetaaskak!?Wishyouallthebest@tulusm
netaas,menetas,Metharinetaaskak!?Wishyouallthebest@tulusm
keberpa,keberapa,Birthdayygkeberpakak?
eeeehhhh,eh,Ehada@ghessawarsanaEeeehhhh
kata2nyaaa,kata-katanya,Kata2nyaaa?
hallo,halo,Hallokakaktulus
kaka,kakak,Ngefansbangetsamakaka?suksesselaluka?@tulusm
ka,kak,Ngefansbangetsamakaka?suksesselaluka?@tulusm
daah,dah,Senyumnyabikinakumelelehdaah??@tulusm
aaaaahhhh,ah,"Aaaaahhhh@tulusm,akusukabangetsamapriainiyaaAllah??"
yaa,ya,"Aaaaahhhh@tulusm,akusukabangetsamapriainiyaaAllah??"
smga,semoga,"Udo@tulusmhappymiladya??smgadiberikesehatan,kebaikandansuksesslaluamiin"
slalu,selalu,"Udo@tulusmhappymiladya??smgadiberikesehatan,kebaikandansuksesslaluamiin"
amiin,amin,"Udo@tulusmhappymiladya??smgadiberikesehatan,kebaikandansuksesslaluamiin"
kk,kakak,hiiikkgantengIrealyloveyousomuchsuksestrusyakk
trus,terus,hiiikkgantengIrealyloveyousomuchsuksestrusyakk
kk,kakak,hiiikkgantengIrealyloveyousomuchsuksestrusyakk
sii,sih,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
nyenengin,menyenangkan,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
bgt,banget,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
gemess,gemas,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
akuuu,aku,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
jgn,jangan,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
yaa,ya,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
udah,sudah,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
gitu,begitu,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
aja,saja,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
gemesiin,menggemaskan,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
menyenangkn,menyenangkan,MastuluskenapasiiOrangnyanyenenginbgtGemessakuuuLoveYoumas@tulusmjgnkurusyaaUdahgituajagantenggemesiinMenyenangkndansmartmuch
rb,ribu,??jilbabsegiempatrawis100rbdapat5jilbab?dansegiempatlace100rbdapat4jilbab?
akau,aku,AwalnyaEmangPusingYaSisuntukmemilihManaDistributoryangterbaikamandandapatdipercayawaktutemenakausaraninke@DRAKBARFASHIONHERBALLEhmalahnemuinhasilyangterbaikdari@DRAKBARFASHIONHERBALLyaudahakutanpalamalamalagiwaktuhabissuplementnyaakutambahlagihihilangsungajaadminPinBbm:D0545049line:@HRX9934Zpake@yah
saranin,menyarankan,AwalnyaEmangPusingYaSisuntukmemilihManaDistributoryangterbaikamandandapatdipercayawaktutemenakausaraninke@DRAKBARFASHIONHERBALLEhmalahnemuinhasilyangterbaikdari@DRAKBARFASHIONHERBALLyaudahakutanpalamalamalagiwaktuhabissuplementnyaakutambahlagihihilangsungajaadminPinBbm:D0545049line:@HRX9934Zpake@yah
nemuin,menemukan,AwalnyaEmangPusingYaSisuntukmemilihManaDistributoryangterbaikamandandapatdipercayawaktutemenakausaraninke@DRAKBARFASHIONHERBALLEhmalahnemuinhasilyangterbaikdari@DRAKBARFASHIONHERBALLyaudahakutanpalamalamalagiwaktuhabissuplementnyaakutambahlagihihilangsungajaadminPinBbm:D0545049line:@HRX9934Zpake@yah
yah,ya,AwalnyaEmangPusingYaSisuntukmemilihManaDistributoryangterbaikamandandapatdipercayawaktutemenakausaraninke@DRAKBARFASHIONHERBALLEhmalahnemuinhasilyangterbaikdari@DRAKBARFASHIONHERBALLyaudahakutanpalamalamalagiwaktuhabissuplementnyaakutambahlagihihilangsungajaadminPinBbm:D0545049line:@HRX9934Zpake@yah
met,selamat,Metultahkaktulus
mnis2nya,manis-manisnya,Adamnis2nyagtu?
gtu,begitu,gtu
tu,itu,Dietpakdahmontoktuhihilove4voicetulus
idolaa,idola,Happybirthdayka@tulusmidolaabangett???
bangett,banget,Happybirthdayka@tulusmidolaabangett???
kaakk,kak,"Selamatulangtahunkaakk,semogakedepannyamakinbaaiikkk??@tulusmmaaftelaatt?"
baaiikkk,baik,"Selamatulangtahunkaakk,semogakedepannyamakinbaaiikkk??@tulusmmaaftelaatt?"
telaatt,telat,"Selamatulangtahunkaakk,semogakedepannyamakinbaaiikkk??@tulusmmaaftelaatt?"
kaak,kak,"selamatulangtahunkaak,suksesselalu@tulusm"
yg,yang,Heykalianmautauprodukherbalpeninggibadanyglgtopsekarang?caritauskarangjugafollowig@montirherbaldanINVITEPIN:D098054A
lg,lagi,Heykalianmautauprodukherbalpeninggibadanyglgtopsekarang?caritauskarangjugafollowig@montirherbaldanINVITEPIN:D098054A
skarang,sekarang,Heykalianmautauprodukherbalpeninggibadanyglgtopsekarang?caritauskarangjugafollowig@montirherbaldanINVITEPIN:D098054A
yg,yang,"Bagusbangetprodukygakubelidi@DRHAFIDZ_HEALTYCARE,sayajadimalu,soalnyadulusayasempetDCbbmnyakarnanggapercayaTerussayainvitelagikarnapenasaran,tpsetelahsayacobahasilnyamantep,badankuturun9kgdankulitkujadiputihalami:)"
sempet,sempat,"Bagusbangetprodukygakubelidi@DRHAFIDZ_HEALTYCARE,sayajadimalu,soalnyadulusayasempetDCbbmnyakarnanggapercayaTerussayainvitelagikarnapenasaran,tpsetelahsayacobahasilnyamantep,badankuturun9kgdankulitkujadiputihalami:)"
karna,karena,"Bagusbangetprodukygakubelidi@DRHAFIDZ_HEALTYCARE,sayajadimalu,soalnyadulusayasempetDCbbmnyakarnanggapercayaTerussayainvitelagikarnapenasaran,tpsetelahsayacobahasilnyamantep,badankuturun9kgdankulitkujadiputihalami:)"
ngga,enggak,"Bagusbangetprodukygakubelidi@DRHAFIDZ_HEALTYCARE,sayajadimalu,soalnyadulusayasempetDCbbmnyakarnanggapercayaTerussayainvitelagikarnapenasaran,tpsetelahsayacobahasilnyamantep,badankuturun9kgdankulitkujadiputihalami:)"
karna,karena,"Bagusbangetprodukygakubelidi@DRHAFIDZ_HEALTYCARE,sayajadimalu,soalnyadulusayasempetDCbbmnyakarnanggapercayaTerussayainvitelagikarnapenasaran,tpsetelahsayacobahasilnyamantep,badankuturun9kgdankulitkujadiputihalami:)"
mantep,mantap,"Bagusbangetprodukygakubelidi@DRHAFIDZ_HEALTYCARE,sayajadimalu,soalnyadulusayasempetDCbbmnyakarnanggapercayaTerussayainvitelagikarnapenasaran,tpsetelahsayacobahasilnyamantep,badankuturun9kgdankulitkujadiputihalami:)"
loohhh,loh,@zain.harun menurut loohhh haahhahaa ganteng yeee ????
yeee,ya,@zain.harun menurut loohhh haahhahaa ganteng yeee ????
baguuuuus,bagus,Baguuuuus banget....
sampe,sampai,"Keren bor, sampe ngikutin gayany hahaha"
ngikutin,mengikuti,"Keren bor, sampe ngikutin gayany hahaha"
gayany,gayanya,"Keren bor, sampe ngikutin gayany hahaha"
ngikutin,mengikuti,Sering ngikutin gaya nya lg nyanyi
lg,lagi,Sering ngikutin gaya nya lg nyanyi
bnk,bang,TOP bnk ariel... gaya g
awaas,awas,Minta rokok ny dong awaas to kena jari...
siip,sip,Siip bang ariel
abizzzz,habis,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you
